Year,5th,17th,50th,83th,95th
2020,1,1,5,9,11
2021,1,1,4,8,10
2022,1,1,5,9,11
2023,1,1,5,9,11
2024,1,2,6,11,13
2025,1,2,6,11,13
2026,2,4,8,14,16
2027,2,4,8,14,16
2028,5,8,14,21,23
2029,9,12,18,26,30
2030,13,16,22,31,35
2031,17,19,27,35,38
2032,23,27,35,44,47
2033,37,42,52,61,68
2034,39,44,55,64,69
2035,39,44,55,64,69
2036,39,44,55,64,69
2037,53,60,71,82,88
2038,59,67,81,92,98
2039,57,63,76,88,92
2040,66,78,90,101,109
2041,85,92,111,122,129
2042,114,120,138,157,163
2043,119,125,144,163,169
2044,145,151,166,189,198
2045,162,170,188,210,221
2046,185,194,214,237,244
2047,198,209,227,250,258
2048,211,220,240,261,267
2049,228,238,260,278,287
2050,247,257,283,300,310
2051,271,287,312,329,333
2052,280,297,320,335,339
2053,292,316,333,347,349
2054,296,326,341,351,355
2055,303,336,352,359,362
2056,302,334,351,358,361
2057,304,337,355,361,363
2058,305,339,357,362,365
2059,307,340,360,365,365
2060,307,342,362,365,365
2061,307,342,362,365,365
2062,307,344,364,365,365
2063,307,344,364,365,365
2064,307,345,365,365,365
2065,307,345,365,365,365
2066,308,345,365,365,365
2067,308,345,365,365,365
2068,308,345,365,365,365
2069,308,345,365,365,365
2070,308,345,365,365,365
2071,308,345,365,365,365
2072,308,345,365,365,365
2073,308,345,365,365,365
2074,308,345,365,365,365
2075,308,345,365,365,365
2076,308,345,365,365,365
2077,308,345,365,365,365
2078,308,345,365,365,365
2079,308,345,365,365,365
2080,308,345,365,365,365
2081,308,345,365,365,365
2082,308,345,365,365,365
2083,308,345,365,365,365
2084,308,345,365,365,365
2085,308,345,365,365,365
2086,308,345,365,365,365
2087,308,345,365,365,365
2088,308,345,365,365,365
2089,308,345,365,365,365
2090,308,345,365,365,365
2091,308,345,365,365,365
2092,308,345,365,365,365
2093,308,345,365,365,365
2094,308,345,365,365,365
2095,308,345,365,365,365
2096,308,345,365,365,365
2097,308,345,365,365,365
2098,308,345,365,365,365
2099,308,345,365,365,365
2100,308,345,365,365,365
2101,308,345,365,365,365
2102,308,345,365,365,365
2103,308,345,365,365,365
2104,308,345,365,365,365
2105,308,345,365,365,365
2106,308,345,365,365,365
2107,308,345,365,365,365
2108,308,345,365,365,365
2109,308,345,365,365,365
2110,308,345,365,365,365
2111,308,345,365,365,365
2112,308,345,365,365,365
2113,308,345,365,365,365
2114,308,345,365,365,365
2115,308,345,365,365,365
2116,308,345,365,365,365
2117,308,345,365,365,365
2118,308,345,365,365,365
2119,308,345,365,365,365
2120,308,345,365,365,365
2121,308,345,365,365,365
2122,308,345,365,365,365
2123,308,345,365,365,365
2124,308,345,365,365,365
2125,308,345,365,365,365
2126,308,345,365,365,365
2127,308,345,365,365,365
2128,308,345,365,365,365
2129,308,345,365,365,365
2130,308,345,365,365,365
2131,308,345,365,365,365
2132,308,345,365,365,365
2133,308,345,365,365,365
2134,308,345,365,365,365
2135,308,345,365,365,365
2136,308,345,365,365,365
2137,308,345,365,365,365
2138,308,345,365,365,365
2139,308,345,365,365,365
2140,308,345,365,365,365
2141,308,345,365,365,365
2142,308,345,365,365,365
2143,308,345,365,365,365
2144,308,345,365,365,365
2145,308,345,365,365,365
2146,308,345,365,365,365
2147,308,345,365,365,365
2148,308,345,365,365,365
2149,308,345,365,365,365
2150,308,345,365,365,365
2151,308,345,365,365,365
2152,308,345,365,365,365
2153,308,345,365,365,365
2154,308,345,365,365,365
2155,308,345,365,365,365
2156,308,345,365,365,365
2157,308,345,365,365,365
2158,308,345,365,365,365
2159,308,345,365,365,365
2160,308,345,365,365,365
2161,308,345,365,365,365
2162,308,345,365,365,365
2163,308,345,365,365,365
2164,308,345,365,365,365
2165,308,345,365,365,365
2166,308,345,365,365,365
2167,308,345,365,365,365
2168,308,345,365,365,365
2169,308,345,365,365,365
2170,308,345,365,365,365
2171,308,345,365,365,365
2172,308,345,365,365,365
2173,308,345,365,365,365
2174,308,345,365,365,365
2175,308,345,365,365,365
2176,308,345,365,365,365
2177,308,345,365,365,365
2178,308,345,365,365,365
2179,308,345,365,365,365
2180,308,345,365,365,365
2181,308,345,365,365,365
2182,308,345,365,365,365
2183,308,345,365,365,365
2184,308,345,365,365,365
2185,308,345,365,365,365
2186,308,345,365,365,365
2187,308,345,365,365,365
2188,308,345,365,365,365
2189,308,345,365,365,365
2190,308,345,365,365,365
2191,308,345,365,365,365
2192,308,345,365,365,365
2193,308,345,365,365,365
2194,308,345,365,365,365
2195,308,345,365,365,365
2196,308,345,365,365,365
2197,308,345,365,365,365
2198,308,345,365,365,365
2199,308,345,365,365,365
2200,308,345,365,365,365
